,Dataset 1,Dataset 1 N,Dataset 3b,Dataset 3b N,Dataset 3a,Dataset 3a N,Dataset 4,Dataset 4 N
,PATATAS FRITAS,PATATAS,FRUTAS FRESON,FRESON,FRAMBUESAS,,"Fresh or chilled peas ""Pisum sativum"". shelled or unshelled(2000-2500)",
,APIO,,FRUTAS FRUTAS SIN DETERMINAR,,FRESONES,FRESON,Fresh or chilled spinach. New Zealand spinach and orache spinach(1988-2500),
,COLIFLOR,,FRUTAS GRANADAS,,FRESQUILLAS,,Fresh or chilled sweet peppers(1988-2500),PIMIENTO
,PUERRO,,FRUTAS GROSELLA,,FRUTA DE LA PASION,,Fresh or chilled sweetcorn(2012-2500),
,MANGO,,FRUTAS HIGO CHUMBO,,FRUTOS SECOS,,Fresh or chilled truffles(2007-2500),
,,,FRUTAS HIGOS,,GARROFON,,Fresh or chilled witloof chicory(1988-2500),
,,,FRUTAS KIWIS,KIWI,GRANADAS,,Fresh or dried avocados(2000-2500),
,,,FRUTAS MELON AMARILLO,MELON,GRELOS,,"Fresh or dried citrus fruit (excl. oranges. lemons ""Citrus limon. Citrus limonum"". limes ""Citrus aurantifolia. Citrus latifolia"". grapefruit. mandarins. incl. tangerines and satsumas. clementines. wilkings and similar citrus hybrids)(2002-2500),Fresh or dried citrus fruit (excl. oranges. lemons. grapefruit. mandarins. incl. tangerines and satsumas. clementines. wilkings and similar citrus hybrids)(1988-2001)",
,,,FRUTAS MELON GALIA,MELON,GROSELLA,,Fresh or dried clementines incl. monreales(2017-2500),
,,,FRUTAS MELON SIN DETERMINAR,MELON,GUAYABOS,,Fresh or dried dates(1988-2500),
,,,FRUTAS MELON VERDE PIEL DE SAPO,MELON,GUINDILLAS,,"Fresh or dried grapefruit(2000-2500),Fresh or dried grapefruit(1988-1994)",
,,,FRUTAS MORA,,GUISANTES,,Fresh or dried guavas. mangoes and mangosteens(1988-2500),
,,,FRUTAS PIÑA TROPICAL,,HABAS VERDES,,"Fresh or dried lemons ""Citrus limon. Citrus limonum""(2002-2500)",LIMON
,,,FRUTAS PLATANOS CANARIOS,PLATANO,HIGO CHUMBO,,"Fresh or dried limes ""Citrus aurantifolia. Citrus latifolia""(2002-2500)",
,,,FRUTAS PLATANOS IMPORTACION,PLATANO,HIGOS,,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),MANDARINA
,,,FRUTAS SANDIA CON GRANA,SANDIA,HINOJO,,Fresh or dried pineapples(1988-2500),
,,,FRUTAS SANDIA SIN GRANA,SANDIA,JENGIBRE,,Fresh or dried satsumas(2017-2500),
,,,FRUTAS UVA BLANCA,,JUDIAS VERDES,JUDIA VERDE,"Fresh pawpaws ""papayas""(1988-2500)",
,,,FRUTAS UVA NEGRA,,KIWI,,"Fresh peaches (excl. nectarines)(1998-2500),Peaches. fresh (excl. nectarines)(1993-1994)",
,,,GUISANTE,,KUNKUAT,,Fresh pears (excl. perry pears in bulk from 1 August to 31 December)(2012-2500),
,,,GARGOLAS,,LAUREL,,Fresh persimmons(2012-2500),
,,,HABAS,,LECHUGAS,LECHUGA,Fresh plums(1998-2500),
,,,HINOJO,,LIMA,,Fresh quinces(2012-2500),
,,,JUDIA BOBI,JUDIA VERDE,LIMONES,LIMON,Fresh raspberries(1988-2500),
,,,JUDIA FINA,JUDIA VERDE,LITCHIS,,"Fresh redcurrants(2012-2500),Fresh red currants(1988-2006)",
